"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C5, C6, C9, C10, C11, C12, C13, C14, C15","10","100nF","Capacitor_SMD:C_0402_1005Metric",""
"2","C2, C3","2","22pF","Capacitor_SMD:C_0402_1005Metric",""
"3","C4, C8, C16, C17","4","1uF","Capacitor_SMD:C_0402_1005Metric",""
"4","C7","1","10uF","Capacitor_SMD:C_0402_1005Metric",""
"5","F1","1","500mA","Fuse:Fuse_1206_3216Metric",""
"6","J1","1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12",""
"7","R1, R2, R7","3","1k","Resistor_SMD:R_0402_1005Metric",""
"8","R3, R4","2","5k1","Resistor_SMD:R_0402_1005Metric",""
"9","R5, R6","2","27R","Resistor_SMD:R_0603_1608Metric",""
"10","U1","1","W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm",""
"11","U2","1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6",""
"12","U3","1","RP2040","Sleep-Lib:RP2040-QFN-56",""
"13","U4","1","XC6206PxxxMR-Regulator_Linear","Package_TO_SOT_SMD:SOT-23",""
"14","Y1","1","12MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
